x, y, theta, stamp, 
2.0589157045947104e-08, -2.413415067792357e-08, 2.38470293699569e-07, 1729715208613215468, 
2.0589157045947104e-08, -2.413415067792357e-08, 2.3848120760187534e-07, 1729715208664169949, 
2.0589157045947104e-08, -2.413415067792357e-08, 2.384921215041817e-07, 1729715208708377744, 
0.0002846202696673572, 2.0613562810467556e-05, -0.001795493312314423, 1729715208758278124, 
0.002536788582801819, -0.0003079127927776426, -0.01812091739977445, 1729715208808886120, 
0.007097787689417601, -0.0006621375796385109, -0.048508242819049384, 1729715208868927552, 
0.012600642628967762, -0.0011181922163814306, -0.07957053380582732, 1729715208918355420, 
0.018854593858122826, -0.0018209840636700392, -0.11876875244615381, 1729715208968209120, 
0.024963226169347763, -0.0027241166681051254, -0.15694470272036298, 1729715209009207692, 
0.03395530581474304, -0.004078061785548925, -0.21188594227074745, 1729715209060173765, 
0.044020675122737885, -0.006495492532849312, -0.27480705163714164, 1729715209109218100, 
0.05484527722001076, -0.009695898741483688, -0.342662219832351, 1729715209158084228, 
0.06719046086072922, -0.014268722385168076, -0.41814192022696733, 1729715209207523754, 
0.08239732682704926, -0.0213655773550272, -0.5220780881269113, 1729715209269233118, 
0.10377667844295502, -0.035035982728004456, -0.679202918404388, 1729715209363212709, 
0.12336863577365875, -0.05280175805091858, -0.8418332105723318, 1729715209464177663, 
0.13931326568126678, -0.07230203598737717, -1.0027537537745332, 1729715209561075150, 
0.15341772139072418, -0.09769272804260254, -1.182110592432811, 1729715209668910658, 
0.16240154206752777, -0.12255149334669113, -1.3410453121379877, 1729715209766217709, 
0.16693595051765442, -0.1466987580060959, -1.4941162559239822, 1729715209858208163, 
0.1675075888633728, -0.17293986678123474, -1.6570553555749108, 1729715209958307173, 
0.16325202584266663, -0.20534543693065643, -1.8285806403763292, 1729715210073559223, 
0.15555314719676971, -0.23116736114025116, -1.9536876675708779, 1729715210163225004, 
0.14948143064975739, -0.2454591989517212, -2.016997420626233, 1729715210213229408, 
0.1285524219274521, -0.28312399983406067, -2.1739707133028707, 1729715210353630962, 
0.10699276626110077, -0.3121367394924164, -2.2785006283238585, 1729715210474257873, 
0.08881928026676178, -0.33262205123901367, -2.340098284862135, 1729715210563747379, 
0.06775665283203125, -0.3540631830692291, -2.389916434279552, 1729715210663595399, 
0.04302988201379776, -0.37641599774360657, -2.4262225738607617, 1729715210773916673, 
0.01973067969083786, -0.39617255330085754, -2.4522000577108103, 1729715210873970216, 
-0.0017535407096147537, -0.41367653012275696, -2.4739882116909864, 1729715210964580305, 
-0.025440845638513565, -0.43227046728134155, -2.4854926862000704, 1729715211063739229, 
-0.04743197187781334, -0.4491632580757141, -2.490906010600068, 1729715211154052335, 
-0.07687084376811981, -0.47126272320747375, -2.4990736704842287, 1729715211273273005, 
-0.09911182522773743, -0.4876483678817749, -2.5048956818209094, 1729715211363372540, 
-0.12369177490472794, -0.5054358839988708, -2.5146880354477448, 1729715211463323211, 
-0.15096519887447357, -0.5249162316322327, -2.526147862772253, 1729715211573739990, 
-0.17616547644138336, -0.5424538254737854, -2.5348882264556547, 1729715211673588550, 
-0.19872377812862396, -0.5581188797950745, -2.546507071877254, 1729715211763466636, 
-0.22377663850784302, -0.5748105645179749, -2.560549745712328, 1729715211862254700, 
-0.24731621146202087, -0.5900464057922363, -2.57474997258403, 1729715211954527607, 
-0.27777597308158875, -0.6091290712356567, -2.589124930874992, 1729715212072823868, 
-0.30198749899864197, -0.6237255930900574, -2.599276466900067, 1729715212163238744, 
-0.3277469277381897, -0.6389185786247253, -2.609695924285998, 1729715212261212072, 
-0.35209235548973083, -0.6529188752174377, -2.6190977565716316, 1729715212353437698, 
-0.37879008054733276, -0.6681917905807495, -2.6281346822374636, 1729715212453502179, 
-0.4081234633922577, -0.6846984624862671, -2.633917825825514, 1729715212563248847, 
-0.4343522787094116, -0.6990106105804443, -2.640152032913051, 1729715212661217786, 
-0.46438834071159363, -0.7151779532432556, -2.645320427995079, 1729715212773355797, 
-0.49027958512306213, -0.7294062376022339, -2.647017034039525, 1729715212870299756, 
-0.5155878067016602, -0.743100106716156, -2.6465966400099092, 1729715212963265531, 
-0.542144775390625, -0.7575255632400513, -2.645176875901793, 1729715213064228472, 
-0.5714032649993896, -0.7736753821372986, -2.6457593601418745, 1729715213174005482, 
-0.5929330587387085, -0.7850974202156067, -2.644689370483326, 1729715213253277414, 
-0.6087483167648315, -0.7939770817756653, -2.644503170297986, 1729715213313280307, 
-0.6493895649909973, -0.8161985278129578, -2.6433269850014045, 1729715213464224215, 
-0.6732474565505981, -0.8293442726135254, -2.643781253094772, 1729715213553537402, 
-0.7044539451599121, -0.8463454246520996, -2.6446018804890605, 1729715213669802358, 
-0.7299191355705261, -0.8602722883224487, -2.6459186592148853, 1729715213763264310, 
-0.7569133639335632, -0.8748321533203125, -2.6456603245506565, 1729715213863526239, 
-0.7860106825828552, -0.8906001448631287, -2.647659535898126, 1729715213973413509, 
-0.8130983114242554, -0.9054120779037476, -2.651206287715175, 1729715214074451084, 
-0.8374667763710022, -0.9185343384742737, -2.6522717627360555, 1729715214163363022, 
-0.8640976548194885, -0.9327616095542908, -2.6534924712195465, 1729715214263257628, 
-0.888471245765686, -0.9456194639205933, -2.656745687351975, 1729715214353352016, 
-0.9205101132392883, -0.9627727270126343, -2.6570703719103212, 1729715214473212201, 
-0.9422321319580078, -0.9741259813308716, -2.658558577602228, 1729715214563276924, 
-0.9615886807441711, -0.9844436645507812, -2.660351854641208, 1729715214663245093, 
-0.9764443039894104, -0.9921785593032837, -2.663479452196193, 1729715214754047995, 
-0.9927254915237427, -1.0005720853805542, -2.665231520230505, 1729715214874388118, 
