e, e_dot, e_int, stamp, 
-2.356190056801414, 3.7140205003215654e-11, -0.23093565147211573, 1729713396489624468, 
-2.356210075702106, -0.00013348161393594979, -0.23610906917487554, 1729713396539616117, 
-2.339679391009198, 0.09133413096924405, -0.2591264195301864, 1729713396599858514, 
-2.314838530038322, 0.25734111869054216, -0.2574378650590525, 1729713396649777800, 
-2.288064652634672, 0.34506912119684546, -0.23077862800796564, 1729713396699581618, 
-2.2606876675751604, 0.4083544966669299, -0.2050526136020484, 1729713396739404040, 
-2.218792546097013, 0.502990002400801, -0.20487874934661773, 1729713396790402774, 
-2.171969470783245, 0.5923550201721297, -0.22171232668482363, 1729713396839402839, 
-2.1140719059061137, 0.7037704266038941, -0.21486712989970788, 1729713396889498523, 
-2.035905575602682, 0.811703375304473, -0.2343191179356419, 1729713396950596014, 
-1.9687936074447125, 0.8802102655878917, -0.22516841218825842, 1729713396999897364, 
-1.8223444623095566, 0.9441173111260017, -0.28912370323490033, 1729713397099448702, 
-1.6926474482148455, 0.9709559611094672, -0.3464066183309705, 1729713397189405114, 
-1.5533693333349223, 0.9444338471823182, -0.3210750403335163, 1729713397289495361, 
-1.4315324944958594, 0.9136862310660993, -0.296823188279436, 1729713397379776078, 
-1.2703806907629653, 0.898862097719895, -0.2977472000517592, 1729713397499408944, 
-1.151940630124116, 0.8828596838421051, -0.2705839270953719, 1729713397590409854, 
-1.026155865762911, 0.8611824260407624, -0.2173866348664207, 1729713397688524275, 
-0.9146723180083345, 0.8304431634343947, -0.19618698766090684, 1729713397780712136, 
-0.7786291966666969, 0.7883769149094014, -0.1902625778585687, 1729713397898414578, 
-0.6833387123577257, 0.7343163489103198, -0.1653383568614387, 1729713397989416451, 
-0.5879186500503328, 0.6732158270150846, -0.12922354017315238, 1729713398087532663, 
-0.5101987303255537, 0.6043276056180996, -0.11317535331997763, 1729713398180005521, 
-0.42034772600337567, 0.5352462560181657, -0.10623316926392778, 1729713398297415331, 
-0.35785042789130284, 0.48152908883262285, -0.0899347806876588, 1729713398389416414, 
-0.299907924463354, 0.4253113142752958, -0.06796325123632262, 1729713398486533784, 
-0.24261287667014875, 0.3680687328674542, -0.06302467088949452, 1729713398599412032, 
-0.20137224369394957, 0.3108973832267614, -0.05204524995375743, 1729713398696423836, 
-0.16690001891273676, 0.265267123949561, -0.038690628178464685, 1729713398789418102, 
-0.13393439119653294, 0.23233620649458478, -0.03247899128970567, 1729713398890441524, 
-0.10317239061705452, 0.20283880714542554, -0.028284693881842283, 1729713398999449422, 
-0.07845898557740316, 0.1790172175859226, -0.02166669583486276, 1729713399096421051, 
-0.05833682008036112, 0.1570591904710047, -0.015197150754738221, 1729713399189438983, 
-0.04266520566356036, 0.123836278186871, -0.01160549098086646, 1729713399290426828, 
-0.03099361754395069, 0.08722843980660243, -0.009265126850736065, 1729713399400016998, 
-0.0220321938989545, 0.06681006689465659, -0.006538805947972472, 1729713399495424313, 
-0.014807214280978087, 0.05692507419306914, -0.004283086455377405, 1729713399589441828, 
-0.006808974923698141, 0.05221563517777247, -0.0028261805151971312, 1729713399689670719, 
-0.0032868067415119384, 0.03966990704893663, -0.0015776649422272293, 1729713399779499074, 
0.0009381144232012417, 0.024715585430185316, -0.0006433531175015945, 1729713399900429562, 
0.0032753138097176837, 0.02039913636762292, 6.484206793690689e-05, 1729713399989429672, 
0.004133099266185436, 0.011611380753574546, 0.0005259726059263546, 1729713400089480376, 
0.005370995336108297, 0.0066051270258500995, 0.0008952633774745244, 1729713400199595123, 
0.005582018230867458, 0.004444742848689468, 0.0010609007177950988, 1729713400300449377, 
0.006030957718026642, 0.0023710809927377945, 0.0010771722198764113, 1729713400389863736, 
0.006669653270572784, 0.0038095415039324696, 0.0011523544183192748, 1729713400489539426, 
0.006573799356965004, 0.001781143881956643, 0.0012190303461352989, 1729713400579601890, 
0.006854367077751888, 0.00041633277937797155, 0.0014158707845739133, 1729713400700886349, 
0.006897022150782917, 0.000931022387648103, 0.0014240701444863486, 1729713400789794795, 
0.007113037284798285, 0.0008794406287558309, 0.0013143355407148642, 1729713400889868616, 
0.0071755336374725864, 0.0009453827011241496, 0.0013580464857349426, 1729713400982101871, 
0.005860621065945537, -0.0034989949113733466, 0.0014097938628074352, 1729713401099771901, 
0.006050316233396913, -0.003020494638008127, 0.0013197750179413338, 1729713401189543313, 
0.006959490037011573, 0.0037372344846937043, 0.0011932139681321101, 1729713401289467759, 
0.006812742130748006, 0.002496435893214214, 0.0012627729340882066, 1729713401380654906, 
0.00610921078923754, -0.002492568053915602, 0.0013988043350823937, 1729713401500539612, 
0.0067295228783619265, 0.00036967584126737794, 0.0013676602121190907, 1729713401589442311, 
0.007061558304569893, 0.003430770930318794, 0.001254167245332102, 1729713401689607277, 
0.004017326609417449, -0.010173581400704035, 0.001128674031755763, 1729713401779578461, 
0.0006773896543421642, -0.02049006042331279, 0.0008261999871224355, 1729713401900439369, 
-0.0001632572074492522, -0.012360102435031897, 0.0003169879711447786, 1729713401989436677, 
-0.004687216776336989, -0.01815790707267047, -0.0002635543485368619, 1729713402089906675, 
-0.008128429181976315, -0.02777872277205196, -0.000823293559304298, 1729713402179736323, 
-0.012995689790840093, -0.02620781258025301, -0.0018116090889363431, 1729713402300466381, 
-0.019815341357063865, -0.038766315980933934, -0.0028723336751524165, 1729713402390217872, 
-0.03473526834819296, -0.07539577373403737, -0.004257282046737525, 1729713402489549221, 
-0.08756541794893247, -0.2464908755536773, -0.008952601625420133, 1729713402579202924, 
