x, y, th, stamp, 
-1.5987547518019596, -1.017455806745561, -1.8728019644714564, 6257000000, 
-1.6008400089487975, -1.0239631673521152, -1.8897965375464683, 6291000000, 
-1.6029980354035822, -1.0303730682394496, -1.8987458888585964, 6325000000, 
-1.605171616260416, -1.0368134011148986, -1.8922640507376443, 6359000000, 
-1.6073045431897603, -1.0432683876625533, -1.8894555843584637, 6393000000, 
-1.6094480242581286, -1.0497227379746514, -1.893843249860186, 6427000000, 
-1.6116109526067361, -1.056168715850915, -1.8942624923949343, 6461000000, 
-1.613763182770055, -1.062615997876531, -1.8917172785704246, 6495000000, 
-1.615907057647853, -1.0690678915766247, -1.892149485231098, 6529000000, 
-1.6180594157886412, -1.0755174426985419, -1.8934835691589162, 6563000000, 
-1.6202146219440328, -1.0819659698335253, -1.8929198641959115, 6597000000, 
-1.6223648552189713, -1.0884166734785048, -1.8923315779502101, 6631000000, 
-1.624515083504481, -1.0948678871506303, -1.8928079524802608, 6665000000, 
-1.626668534582091, -1.101318795915628, -1.8930219557700292, 6699000000, 
-1.6288213487230299, -1.1077698354287568, -1.8927009300601736, 6733000000, 
-1.6309729245512636, -1.1142216238300917, -1.892663711559964, 6767000000, 
-1.6331248820686985, -1.1206732777943338, -1.8928523414992464, 6801000000, 
-1.6352777649812027, -1.1271244470956996, -1.892824577206461, 6835000000, 
-1.6374301421840607, -1.1335755044983635, -1.8927268416363339, 6869000000, 
-1.6395817482342085, -1.1400263824231127, -1.8927693976146927, 6903000000, 
-1.6417339617736133, -1.1464768042254896, -1.8928142865412763, 6937000000, 
-1.6438863372324686, -1.1529268188813764, -1.892780345075213, 6971000000, 
-1.646037909599068, -1.1593767000265065, -1.892766125943888, 7005000000, 
-1.6481899775323925, -1.1658263851336552, -1.892790742496055, 7039000000, 
-1.650342020265817, -1.1722759453978497, -1.8927950659686497, 7073000000, 
-1.6524941919958562, -1.1787255945247397, -1.8927810354111492, 7107000000, 
-1.65464625602582, -1.1851753940171594, -1.8927820877767765, 7141000000, 
-1.6567985613177332, -1.191625400039023, -1.8927878151887048, 7175000000, 
-1.6589509104633011, -1.1980756441576512, -1.8927832143027226, 7209000000, 
-1.6611034054404, -1.2045261665507245, -1.8927784369406608, 7243000000, 
-1.6632560020306995, -1.2109769189829271, -1.8927796137317325, 7277000000, 
-1.66540871071609, -1.2174278385438597, -1.8927796171139877, 7311000000, 
-1.6675614480111554, -1.2238788136795393, -1.8927770257481007, 7345000000, 
-1.6697142219760521, -1.2303297720336932, -1.8927760657506874, 7379000000, 
-1.6718670152059112, -1.2367806280577465, -1.892776600095264, 7413000000, 
