acc_x, acc_y, angular_z, stamp, 
-0.10088577888169124, -0.005033939418163609, -0.5000349735277487, 6236000000, 
-0.0618360943747661, -0.29929590556361746, -0.49985489010963446, 6241000000, 
-0.043236688999706084, -0.13518462778881946, -0.4999105991970798, 6247000000, 
-0.08659316187623611, -0.029758276569763452, -0.4998945233403434, 6252000000, 
-0.054524919636161684, -0.24690358577254004, -0.500009374701733, 6257000000, 
-0.05673086145100752, -0.14032460170232097, -0.49972779701109965, 6262000000, 
-0.05591847687129603, -0.14418394167554854, -0.49992919019472765, 6271000000, 
-0.13533506074123874, -0.021407527168975246, -0.4996866914105919, 6277000000, 
-0.09524024128364358, -0.16336037575696863, -0.5003694827505912, 6283000000, 
-0.02315859948281542, -0.25296492760964506, -0.49961557162848513, 6289000000, 
-0.23785531712805738, -0.07643986691363408, -0.47974209774358095, 6294000000, 
0.014563512078836684, -0.29179730495527517, -0.4257597547711845, 6299000000, 
-0.025312719020283682, -0.10805635991249553, -0.3527050930681529, 6304000000, 
-0.002274353177825549, 0.0240832264068163, -0.28517410533096876, 6309000000, 
-0.07643928650533581, -0.1927039068553992, -0.17542305333977268, 6314000000, 
0.006998730256226823, 0.05064982682965513, -0.08413389812528624, 6319000000, 
-0.14408413324005978, -0.2298531684980628, -0.015473916062603638, 6324000000, 
0.1184853655955802, -0.024157255698216903, 0.07866833378679633, 6329000000, 
0.008507830846055749, 0.0677308403734898, 0.14631936550246188, 6334000000, 
-0.15566057791568172, -0.17053305494793827, 0.18847130416524818, 6339000000, 
-0.10978577790388959, -0.02885289257623805, 0.23274380928005675, 6344000000, 
0.02054539276073159, 0.12209323800680938, 0.24906737273954824, 6349000000, 
-0.3046764987033539, -0.1262064610656736, 0.24793252357365125, 6354000000, 
-0.11963977484491942, 0.01550711714555808, 0.2313999222576256, 6359000000, 
0.0669355477794917, 0.13935188926291442, 0.20074814492621715, 6364000000, 
-0.1858914257947224, -0.1253696562838056, 0.15959540523796711, 6369000000, 
0.0009620844878329548, 0.061313163652597015, 0.08023260864802251, 6377000000, 
-0.26572293215340814, -0.23230951578426115, 0.04873530763468518, 6382000000, 
-0.00357730031111278, -0.049513615760634296, -0.011515631576857947, 6387000000, 
-0.058976719268700864, -0.05343853137255252, -0.07286845722944062, 6393000000, 
-0.043107884466810215, -0.10174073181175612, -0.10696084414441988, 6398000000, 
