x, y, th, stamp, 
-1.9344139236802886, -2.023739281519604, -1.892755928286213, 11561000000, 
-1.9365945684137404, -2.030221647074042, -1.9013831268304675, 11595000000, 
-1.9390039674982058, -2.036991118385641, -1.926264355422434, 11629000000, 
-1.94158663792732, -2.043724663304769, -1.9463729306363577, 11663000000, 
-1.9442780479217627, -2.0504355686722864, -1.9582887583481237, 11697000000, 
-1.9470759712958996, -2.057148322024079, -1.9748584102592344, 11731000000, 
-1.9500158312722677, -2.0638445098033213, -1.9947756921652255, 11765000000, 
-1.953090702454935, -2.0705108315469594, -2.0112913859144106, 11799000000, 
-1.9562830905515352, -2.0771569398300826, -2.026814053856498, 11833000000, 
-1.9596018669347666, -2.083783411421393, -2.0444562466831147, 11867000000, 
-1.9630386185721864, -2.0903499132424987, -2.0621147412258947, 11901000000, 
-1.9666020615318773, -2.0968848469462844, -2.0786016066462736, 11935000000, 
-1.9702894860625042, -2.103390095675796, -2.0953720314368796, 11969000000, 
-1.9740884898671445, -2.1098323960377203, -2.112716692339158, 12003000000, 
-1.978015071675585, -2.116236759876707, -2.1297607109462304, 12037000000, 
-1.9820671680273574, -2.122602214808524, -2.1465642630698727, 12071000000, 
-1.986245360636195, -2.1289269449480837, -2.1635939618218836, 12105000000, 
-1.990530678713421, -2.135179492542007, -2.1806980127821776, 12139000000, 
-1.9949418183133192, -2.141385668720816, -2.19765779603914, 12173000000, 
-1.9994769580004688, -2.1475437261654915, -2.2146110899501563, 12207000000, 
-2.00411632908893, -2.1536239694233146, -2.2316488923925735, 12241000000, 
-2.008879960601843, -2.1596509023370913, -2.2486679174563604, 12275000000, 
-2.0137666075494676, -2.1656224489270133, -2.2656446528771075, 12309000000, 
-2.0187539442664075, -2.1715103059899996, -2.2826441459848374, 12343000000, 
-2.0238629656046547, -2.1773382268961567, -2.2996613205861536, 12377000000, 
-2.029093395369403, -2.1831036380185216, -2.3166611570553224, 12411000000, 
-2.03444437131727, -2.1888041771124773, -2.3336525807215462, 12445000000, 
-2.03991544743825, -2.1944372826633427, -2.3506574938975104, 12479000000, 
-2.0455052571596024, -2.2000007666989143, -2.3676616315112, 12513000000, 
-2.0512133486847675, -2.2054920390921815, -2.384658657753895, 12547000000, 
-2.0570389109158724, -2.2109086584373245, -2.401659218008034, 12581000000, 
-2.0629560217283633, -2.216225311577299, -2.4186637287981423, 12615000000, 
-2.06898790476461, -2.221463178943865, -2.4356651365952446, 12649000000, 
-2.0751343241063833, -2.2266193501089138, -2.45266596050628, 12683000000, 
-2.0813937592687815, -2.231691777519078, -2.4696681246849326, 12717000000, 
-2.0877385652587597, -2.2366570771599523, -2.486674094637639, 12751000000, 
-2.094194279340897, -2.241533961131361, -2.503677515306658, 12785000000, 
-2.1007591858590504, -2.2463206631815544, -2.5206774710129367, 12819000000, 
-2.1074323912731896, -2.251014607284097, -2.5376795060198294, 12853000000, 
-2.1141637496074472, -2.2555852845355977, -2.554719745835571, 12887000000, 
-2.120958855429334, -2.2600252838998456, -2.5725648824960037, 12921000000, 
-2.1278509849577096, -2.2643538324344092, -2.591023826677135, 12955000000, 
-2.134859545490898, -2.268580604471637, -2.6090795593249565, 12989000000, 
-2.141978561127807, -2.2726986684359223, -2.626840755881317, 13023000000, 
-2.1492018526477987, -2.2767030807180255, -2.6447023774005736, 13057000000, 
-2.1565307079844755, -2.2805977222378258, -2.6626168721321326, 13091000000, 
-2.1639535751921457, -2.2843718207524843, -2.6804616256533507, 13125000000, 
-2.1715095350981124, -2.288044943240839, -2.6982738399567463, 13159000000, 
-2.1791576690887746, -2.2915978106681405, -2.7160957681319178, 13193000000, 
-2.1869017880043566, -2.295032175517581, -2.7339257378344612, 13227000000, 
-2.194734487176226, -2.2983353762926146, -2.7517781130014694, 13261000000, 
-2.2026551964614733, -2.3015099154237713, -2.7696126397952243, 13295000000, 
-2.2106620865192697, -2.3045536768166324, -2.787484115141252, 13329000000, 
-2.218752566614796, -2.3074650566097294, -2.8053798184634666, 13363000000, 
-2.2269997321177315, -2.310271926599968, -2.823130052472105, 13397000000, 
-2.2353522100836343, -2.3129491905904938, -2.8399564310992926, 13431000000, 
-2.2437800957898353, -2.3154968747432343, -2.8566018802176223, 13465000000, 
-2.2522825680698477, -2.3179112331321607, -2.8738027933380623, 13499000000, 
-2.2608582272408264, -2.3201872342531447, -2.8909636081378043, 13533000000, 
-2.2695038120470863, -2.3223257606928556, -2.9078262231056327, 13567000000, 
-2.278217740188964, -2.3243253929478187, -2.924786379790483, 13601000000, 
-2.2869642260877265, -2.3261768173039328, -2.9418894958034207, 13635000000, 
-2.29577456224824, -2.3278851273062235, -2.95890167444583, 13669000000, 
-2.304646109573129, -2.3294496320654083, -2.9758559639984945, 13703000000, 
-2.3135752023190133, -2.330868679879768, -2.992881772424846, 13737000000, 
-2.322507610873838, -2.332129695732702, -3.010239858241767, 13771000000, 
-2.331445614694377, -2.3332336984597486, -3.028553212032469, 13805000000, 
-2.340471725988663, -2.33418308554313, -3.046393864808846, 13839000000, 
-2.349575323697212, -2.3349787817903525, -3.0631475240186203, 13873000000, 
-2.358698075422743, -2.3356223645748537, -3.0799221957814686, 13907000000, 
-2.3678643111445004, -2.3361125308861213, -3.0971291683930717, 13941000000, 
-2.3770202876469226, -2.3364442444997997, -3.114286024891294, 13975000000, 
-2.386199027045125, -2.336616082642757, -3.1315632928524, 14009000000, 
-2.3953887923264685, -2.3366299943967936, 3.1339332063380256, 14043000000, 
-2.404584988424105, -2.3364756207012736, 3.1158039420546793, 14077000000, 
-2.4137800174038886, -2.33615911899579, 3.097644361134921, 14111000000, 
-2.4229991672961515, -2.3356691770454985, 3.079673770285689, 14145000000, 
-2.432212805828237, -2.335014753048477, 3.0616920817719993, 14179000000, 
-2.441437772322477, -2.334194403667404, 3.0437716746035854, 14213000000, 
-2.4507123764514955, -2.3332030300868047, 3.0264088743947597, 14247000000, 
-2.4600236919317466, -2.3320480985742083, 3.0096019482658907, 14281000000, 
-2.469347973618519, -2.330732535361764, 2.9927307786061523, 14315000000, 
-2.4786483177224627, -2.3292586816089456, 2.9755839096780927, 14349000000, 
-2.4879555550839116, -2.3276198771258207, 2.95854178501506, 14383000000, 
-2.4972335663866674, -2.3258238292563087, 2.9416252832336824, 14417000000, 
-2.506513050277525, -2.323863640344455, 2.924615761336174, 14451000000, 
-2.515786310572905, -2.321737883884733, 2.9075458062503916, 14485000000, 
-2.5250356429431076, -2.319446228349105, 2.890346880105234, 14519000000, 
-2.534283604161651, -2.316984794807847, 2.872951985672499, 14553000000, 
-2.5435018268204335, -2.314363000411962, 2.855805045788708, 14587000000, 
-2.5527104122686506, -2.3115753597514135, 2.8389785578898943, 14621000000, 
-2.5618707951291326, -2.3086330960999444, 2.8220185186638713, 14655000000, 
-2.5710116300703763, -2.3055242412616646, 2.804911688063765, 14689000000, 
-2.5801299868811225, -2.3022487115497525, 2.787918032993482, 14723000000, 
-2.589191436982436, -2.2988189318486434, 2.770972852448504, 14757000000, 
-2.5982123001287087, -2.295225479356564, 2.753903368725299, 14791000000, 
-2.6071520500718464, -2.291484168183229, 2.7364983151886833, 14825000000, 
-2.616051024167169, -2.287576451898173, 2.718947324996431, 14859000000, 
-2.624913569098353, -2.2834966791867077, 2.7014560829322027, 14893000000, 
-2.633743040247317, -2.279242873127996, 2.6840979767356887, 14927000000, 
-2.6425435623475284, -2.274814241063726, 2.6669718758130228, 14961000000, 
-2.651305419085284, -2.2702209411817726, 2.650077256098335, 14995000000, 
-2.660018237397901, -2.265464041385582, 2.6331237246419663, 15029000000, 
-2.668707625768082, -2.2605260896086303, 2.616057746327695, 15063000000, 
-2.6773409970680313, -2.2554236869365623, 2.599050852028572, 15097000000, 
-2.6859153241877287, -2.2501574154881823, 2.5820880779164885, 15131000000, 
-2.694456471776958, -2.244709931089533, 2.5650810718460457, 15165000000, 
-2.7029263439162423, -2.239101519573392, 2.5480351875956035, 15199000000, 
-2.7113286713951545, -2.233328714625299, 2.5309272544838146, 15233000000, 
-2.7196901332245527, -2.227371950382637, 2.5138874307900787, 15267000000, 
-2.728004924224752, -2.2212334997584415, 2.496950294817861, 15301000000, 
-2.736241530173318, -2.2149345919514185, 2.4799645121515166, 15335000000, 
-2.7444230261123725, -2.208454073810964, 2.462932093243478, 15369000000, 
-2.752519493864379, -2.2018140553972896, 2.445936743292337, 15403000000, 
-2.7605278672244102, -2.1950154409117126, 2.428955486288353, 15437000000, 
-2.768445017841247, -2.18805933890827, 2.4119492718499296, 15471000000, 
-2.7762680356063423, -2.180947069250647, 2.39494008549649, 15505000000, 
-2.783990930952164, -2.1736822888389953, 2.377943168137634, 15539000000, 
-2.791604776806161, -2.166272797942774, 2.360808655042498, 15573000000, 
-2.7991069319167865, -2.1587154948308283, 2.343398002357898, 15607000000, 
-2.806498112824952, -2.1510042876384685, 2.325958466185884, 15641000000, 
-2.8137666245574455, -2.14315026333306, 2.3087946832224695, 15675000000, 
-2.8209517968476314, -2.135117796090232, 2.2918969618506333, 15709000000, 
-2.828022646007364, -2.126939627154373, 2.2749585843487563, 15743000000, 
-2.8349748426656984, -2.118616363853275, 2.257886598775291, 15777000000, 
-2.841783754960717, -2.110175820565878, 2.240866213744638, 15811000000, 
-2.8484893364532478, -2.101571380313377, 2.223900559660986, 15845000000, 
-2.8550597059316494, -2.0928363826978496, 2.206739232647691, 15879000000, 
-2.861487862560123, -2.0839761206854694, 2.1893069400991982, 15913000000, 
-2.8677788929790147, -2.0749760264448223, 2.171791625488249, 15947000000, 
-2.8739169327145797, -2.065858145672881, 2.15440323239479, 15981000000, 
-2.8799245713639485, -2.056592041395215, 2.137280692889492, 16015000000, 
-2.8857957504447103, -2.0471917008456972, 2.1204082475283896, 16049000000, 
-2.891524358158942, -2.0376644913948536, 2.1034463749874464, 16083000000, 
-2.8971073487821073, -2.0280120655779696, 2.086365588655401, 16117000000, 
-2.9025411637182565, -2.0182361977399745, 2.069363962976622, 16151000000, 
-2.9078235692134027, -2.0083440554037155, 2.052391085321243, 16185000000, 
-2.912942218769482, -1.998350865605789, 2.035165264764107, 16219000000, 
-2.9178824132939614, -1.9882815099980418, 2.017642020472897, 16253000000, 
-2.9226571094123854, -1.9780966909499342, 2.000070407469048, 16287000000, 
-2.9272736640409556, -1.9677830116933568, 1.9826841482707187, 16321000000, 
-2.931732618651399, -1.9573410508676718, 1.9656676916567193, 16355000000, 
-2.936027964209869, -1.9467930657643013, 1.9488387331438104, 16389000000, 
