acc_x, acc_y, angular_z, stamp, 
-0.025126987845470034, 0.009017893265375766, -0.00012670177461070704, 2309000000, 
-0.048547208426323346, 0.010617207981124359, 0.0002561399355937301, 2314000000, 
-0.06375961359276021, -0.006968411959972068, -0.00040312726732990185, 2319000000, 
-0.04044646966520558, 0.007026181730338601, 0.00022145120061394321, 2324000000, 
-0.027364587608221188, 0.01250158274296968, 0.0001475610077987999, 2329000000, 
-0.03583501235528907, -0.010099954363822099, 4.5821933171267846e-05, 2335000000, 
-0.0543174918763397, 0.022197670867483737, 2.7773599505388437e-05, 2340000000, 
-0.051282063250316985, -0.018744194848404058, 0.00021967275360347532, 2345000000, 
6.837505348909713, 0.02287623627755513, -0.00014769844281912206, 2350000000, 
-0.16236510348309852, -0.014639401130912418, 0.00019218841220296752, 2355000000, 
-0.1210590496157777, 0.04495259288467133, 7.143981023881364e-05, 2360000000, 
-0.06375563142605299, 0.0020931738604978685, -0.00015028654836984323, 2365000000, 
-0.033864830506707556, -0.012197121374201127, 0.0001860534007414546, 2372000000, 
-0.01721627933605663, -0.005251642073302151, 0.00012240333545797023, 2377000000, 
5.6481492811430805, -0.012879264128443223, 0.00012871536758922867, 2382000000, 
1.2306322816002324, -0.0057087987902699425, -0.00010030227179527843, 2387000000, 
-0.1137221092410548, 0.0007076640069061789, 0.00024077528649961126, 2392000000, 
-0.07221616941324138, 0.02075449457318604, 0.00011542073606223947, 2397000000, 
-0.05963599095244064, -0.015170693380159849, 0.0003842942327532946, 2402000000, 
-0.07046044118489661, 0.018051522137533752, -0.00012712652651625445, 2407000000, 
-0.052803659780098364, -0.0037571984348743624, -9.654796357768879e-05, 2412000000, 
7.080872605941372, 0.005659430450245523, 0.00011308422166646843, 2417000000, 
1.0016529761756165, 0.010043367399927379, 0.00019765500107884668, 2423000000, 
-0.10735307564307388, 0.018831931527803644, -0.00012582914801255874, 2428000000, 
-0.024248694956051385, -0.004152636852601952, -0.00035929988796987156, 2433000000, 
0.0006340269090262113, -0.028777867887015335, -0.0003579665527062934, 2438000000, 
-0.0434622400037978, -0.013866548655109412, -0.00022859888049747294, 2445000000, 
-0.03362660395207035, -0.011773979973080708, 0.0002001171799673926, 2450000000, 
6.917062046498424, -0.0013519016564784018, -8.862804582041954e-05, 2455000000, 
-0.11984260296490884, 0.0031678943166167477, 5.684903334400938e-05, 2460000000, 
-0.05498160752316122, 0.013326137708063495, 5.50842992511142e-06, 2465000000, 
-0.0640887628938066, 0.014113925132510037, 2.4423038839557865e-05, 2473000000, 
-0.009518925434128488, -0.005019567619810074, -6.890685421432068e-05, 2478000000, 
-0.026385021269107987, 0.00031388896118934916, 0.00036397092243899755, 2483000000, 
5.902065638374541, 0.020859685890935998, -0.005542774970948689, 2488000000, 
-0.11640815142178468, 0.031995945973596895, -0.014614104590639814, 2493000000, 
-0.047501215698726784, -0.0219903209914338, -0.025493709876253403, 2499000000, 
-0.02166009318300892, -0.011154572432912528, -0.04097772249222536, 2504000000, 
-0.009323511736283097, -0.024400338032340617, -0.05386526526511889, 2509000000, 
-0.02460769087181574, -0.015629015438978197, -0.06635568162523073, 2514000000, 
3.411445475781857, -0.022116287910736453, -0.08363777865048963, 2519000000, 
0.038906561473111057, -0.014253506926818264, -0.11710645489243135, 2524000000, 
-0.013493874237240003, -0.04724827954475491, -0.15840890817148598, 2529000000, 
0.023132525749674122, 0.009247160756997254, -0.20325284431701088, 2534000000, 
-0.005762984142051796, -0.08229802128283127, -0.24991735769386475, 2539000000, 
-0.0027106376330045074, -0.036530502718395086, -0.2936981589465119, 2544000000, 
-0.02006028808447491, -0.0638718123009629, -0.3255443780364845, 2549000000, 
2.9126265151687334, -0.04339070483384813, -0.3755181321021842, 2554000000, 
-0.053194510505996606, -0.07012454895810803, -0.4260049592976858, 2559000000, 
-0.02719655904908602, -0.06934650025422041, -0.47679918513670344, 2564000000, 
-0.0165533547971369, -0.12483408083346409, -0.5246338809637228, 2569000000, 
-0.005421061395925547, -0.13482679451261337, -0.5655257657605219, 2574000000, 
-0.009501724539977437, -0.12704790675194746, -0.5987426349730607, 2579000000, 
-0.01926879671098876, -0.11885734199919444, -0.6215524276003079, 2584000000, 
0.35650403922230967, -0.13162079129594667, -0.6330248093643444, 2589000000, 
-0.01266969660949337, -0.11897368809481006, -0.6385078432517731, 2594000000, 
-0.009038562341156256, -0.12690658576041983, -0.6329513639035095, 2599000000, 
0.019613441099377675, -0.12417732370541709, -0.6192994803074993, 2604000000, 
-0.018929578803101164, -0.163475270873766, -0.5987527649905365, 2609000000, 
-0.0007720222877426498, -0.10371851585636642, -0.5739115408171909, 2614000000, 
-0.012107416623323172, -0.12485785689418055, -0.5460567268096352, 2619000000, 
-0.007634331761172432, -0.10192506417071134, -0.5174087754872906, 2624000000, 
0.0029229590740649826, -0.09718834148063625, -0.49558202042667, 2629000000, 
-0.011115064960778496, -0.06962632507669558, -0.4656563420374584, 2634000000, 
-0.022587431216562093, -0.03925893087453711, -0.4454038770975169, 2639000000, 
0.017129128261975244, -0.07393773734284305, -0.4306327372147632, 2644000000, 
0.0025657955393888834, -0.08685856735757538, -0.4214836292233588, 2649000000, 
-0.03470569064163184, -0.08775174236634091, -0.4180972916778795, 2654000000, 
-0.04652621237415018, -0.06438628904425124, -0.4201521985661469, 2661000000, 
-0.016813805032305614, -0.07983565593496904, -0.43136120773136677, 2668000000, 
-0.007263925107704039, -0.09915552641973402, -0.4620743283822356, 2678000000, 
0.017860085353773782, -0.08547295677545194, -0.4854070522007105, 2684000000, 
-0.003462100554109745, -0.09069362491861171, -0.4979324795711504, 2689000000, 
0.00953666305081632, -0.0853350449667779, -0.5159693754243732, 2695000000, 
0.0170238396703284, -0.1346625776566161, -0.528566897272766, 2700000000, 
0.009101084342893582, -0.089413307740914, -0.5410649725261611, 2706000000, 
0.02316276263428372, -0.12243608137183698, -0.5465561155958084, 2713000000, 
0.010841495145587167, -0.11533545735997616, -0.5461875503798942, 2722000000, 
0.01762587336935705, -0.13414990308196267, -0.5409729477668059, 2727000000, 
0.008540058864224747, -0.07092020289543954, -0.5347924188433641, 2732000000, 
-0.008060361655264766, -0.08369260175846599, -0.5252380892796779, 2737000000, 
0.01614066214786105, -0.1056918222957666, -0.5159277810648489, 2742000000, 
0.010071031536486535, -0.07663547171288128, -0.5060625388223645, 2747000000, 
0.004102826230519274, -0.08510923935039758, -0.49668334124875396, 2752000000, 
-0.005539524319640148, -0.0489264177118838, -0.48853156668326425, 2757000000, 
0.009047106000257732, -0.08872542344809498, -0.48175675255430567, 2762000000, 
0.032233268762595156, -0.08390422161257481, -0.47661739176557194, 2767000000, 
0.0034782967584377745, -0.10125427759381338, -0.47337621809395247, 2772000000, 
0.00027373888996974453, -0.10304271951071443, -0.4723235809013768, 2777000000, 
0.01963967635368684, -0.08043808632522687, -0.47294892181049186, 2782000000, 
0.018700881489719504, -0.08559558734332888, -0.47622783698240734, 2788000000, 
-0.015311952550875849, -0.06843638915698139, -0.4798873354614828, 2793000000, 
0.013196522521182434, -0.1135455529626369, -0.4851010746835041, 2798000000, 
-0.03174228142949732, -0.09257773082508983, -0.4902824717273886, 2803000000, 
0.02204973404840288, -0.08588219733478408, -0.4939703997979283, 2808000000, 
-0.009265317126027848, -0.07107608388392414, -0.501544204263628, 2813000000, 
-0.010965252936855917, -0.07899996871755878, -0.5071919453335388, 2819000000, 
-0.012203087497041971, -0.11343728230952974, -0.5116837219006262, 2825000000, 
0.03740225717061553, -0.12383451858201962, -0.5143353647255239, 2830000000, 
-0.0023472800142940453, -0.09143447073169837, -0.5155043237280075, 2835000000, 
0.02999142952038415, -0.11703236990098559, -0.5162989950619347, 2840000000, 
-0.017223867527120375, -0.10198133793357311, -0.5154081431416577, 2845000000, 
-0.00880353131459553, -0.0999208812485242, -0.5137921794731664, 2850000000, 
-0.015571777599432398, -0.0793901111600738, -0.5114150688382476, 2855000000, 
0.025220862891900633, -0.09190994632842939, -0.5085058240379539, 2860000000, 
0.009980867903807214, -0.09327083431536512, -0.5052750182729921, 2865000000, 
0.029870806576392274, -0.10101300561793967, -0.5019419738636463, 2870000000, 
0.022822343181422348, -0.08591758300634701, -0.49854908053858105, 2875000000, 
0.005130488818681458, -0.09539225754641488, -0.4961030952172819, 2880000000, 
0.01583034006323659, -0.09570438737333102, -0.49371271194491934, 2885000000, 
-0.01911153934028515, -0.10515609201270257, -0.4922259710556032, 2890000000, 
0.01615694391850897, -0.10621553357300964, -0.4909892186391235, 2895000000, 
0.0038573536330110394, -0.1090629817794346, -0.4904604765194578, 2900000000, 
0.007084765303126126, -0.07843893599399032, -0.49105044283313265, 2905000000, 
0.0030351338593384257, -0.10937162880383637, -0.4916890976286425, 2910000000, 
0.01042847951408865, -0.08703448815568265, -0.49317261347366914, 2915000000, 
0.01878592788297913, -0.10196048196176338, -0.4949083212978453, 2920000000, 
0.017244362968302805, -0.0799030530134429, -0.49627854726360066, 2927000000, 
0.022521489372321138, -0.08921469472084351, -0.4978769098743732, 2931000000, 
0.0003961352734748128, -0.07945017615901385, -0.5001155270636223, 2936000000, 
-4.0357344862814934e-05, -0.12655190166019636, -0.5024472765174488, 2941000000, 
0.0226221987550842, -0.09203847695031012, -0.5034314385500318, 2946000000, 
-0.011539016557765448, -0.09615412627414607, -0.504539564495589, 2951000000, 
0.024068794299193577, -0.09636649936603432, -0.5052830410958652, 2956000000, 
0.017206155342283515, -0.0976183012109996, -0.5056493377730696, 2961000000, 
0.004250897173744454, -0.0848383007817338, -0.5057316839033617, 2966000000, 
0.012057170558939179, -0.10177752387421604, -0.5047504857594269, 2971000000, 
0.0018661506249497556, -0.09771252595362569, -0.5042222731707063, 2977000000, 
-0.004048294828277817, -0.09943953210227567, -0.5030549860082796, 2982000000, 
-0.010247048960313478, -0.08095190960949225, -0.5020377143358434, 2987000000, 
-0.004055956774814139, -0.08546737492498385, -0.5009924209578446, 2992000000, 
-0.03943914138451017, -0.0846243136572287, -0.49998166585006754, 2997000000, 
0.05016998644820596, -0.08202504693698344, -0.49905859302705, 3002000000, 
0.019219547376589957, -0.10295988463107306, -0.49787886451066643, 3007000000, 
0.0450221659477761, -0.09917298235106475, -0.4973409620946331, 3013000000, 
0.010401588648374021, -0.09521274641668596, -0.49677415265033636, 3018000000, 
0.003801375345512962, -0.07950690427796403, -0.49705357876859885, 3023000000, 
