e, e_dot, e_int, stamp, 
0.7707076826866589, -3.1890850815036534e-11, 0.06936393729769388, 1729718598493572046, 
0.7707106115038326, 1.9890345663076048e-05, 0.07635710104623976, 1729718598542654759, 
0.7695508836339852, -0.0076813390758242684, 0.07647718648063122, 1729718598592851414, 
0.7632269541531009, -0.04966294004627991, 0.07711493397547445, 1729718598643087128, 
0.7580135161457389, -0.08428846766258062, 0.06971090751814943, 1729718598684144199, 
0.7494515726727596, -0.08395523410923454, 0.08296764790863449, 1729718598752702584, 
0.739356150943516, -0.10909362052394977, 0.08870306233338963, 1729718598802582276, 
0.727699814705343, -0.15998242298361906, 0.0678817713062758, 1729718598844579246, 
0.7114977991430363, -0.20052167231993723, 0.0668098223158534, 1729718598894583433, 
0.6952750370376523, -0.21402432528722715, 0.0718673889257436, 1729718598945588817, 
0.679807333942646, -0.21765998540114584, 0.06759729563289178, 1729718598991772072, 
0.5901533967572635, -0.433886180748647, 0.09100471444661658, 1729718599084510644, 
0.5312462936054488, -0.4899627566525579, 0.1259735505575294, 1729718599201587294, 
0.4811691918114389, -0.3509250936456816, 0.11121186053194411, 1729718599292698626, 
0.4561957104320884, -0.34664967507027794, 0.0695357935998531, 1729718599343631275, 
0.3813969837996096, -0.3187721309582548, 0.09294960430151203, 1729718599504146057, 
0.23928356589067135, -0.646530217051027, 0.09223607991638624, 1729718599600585811, 
0.18862931535751626, -0.6727637933556917, 0.05110404246259464, 1729718599693581691, 
0.16826556008403937, -0.3171129091586599, 0.028432411029025342, 1729718599743659138, 
0.11414739370500215, -0.2481012748090287, 0.03302826830947406, 1729718599903933949, 
-0.009206372936174212, -0.5379780777706664, 0.023397972841625488, 1729718600000585301, 
-0.04593616744050388, -0.5570734717953015, 0.0037301132941430087, 1729718600093585126, 
-0.06435520817773277, -0.2542382053862142, -0.005699361030720227, 1729718600143668190, 
-0.08651248429936176, -0.16862173456059124, -0.013811180968537527, 1729718600304117292, 
-0.09179954476542973, -0.06449031657964545, -0.020701575662520587, 1729718600399593661, 
-0.09960078150092344, -0.07755816562304046, -0.012920800945509006, 1729718600443594140, 
-0.19292428135450768, -0.36996650368554934, -0.01845635696199994, 1729718600543662164, 
-0.1934487786202178, -0.3119605925175327, -0.04210455428925644, 1729718600703512786, 
-0.1838685173466854, 0.03209112278310652, -0.04867618352371829, 1729718600799744071, 
-0.1832870109460043, 0.03760481912289526, -0.026177555459353408, 1729718600843598521, 
-0.23528940587263247, -0.1687028610860409, -0.028913471270925077, 1729718600943724722, 
-0.24677284909423236, -0.19698131772705674, -0.057788797825053216, 1729718601104163013, 
-0.24900037573966594, -0.031311472386932576, -0.06337434538999812, 1729718601203788673, 
-0.23918144721042345, 0.028914399181715233, -0.04645482406734765, 1729718601293786234, 
-0.26115730534067905, -0.109882632741593, -0.03499038559994324, 1729718601343873653, 
-0.25644460833369, -0.1364470096482679, -0.05305909224194182, 1729718601504120241, 
-0.25682356406740586, 0.00853728907144431, -0.06712881302264355, 1729718601603919900, 
-0.2539230480809989, 0.02296199177095701, -0.03572706454431164, 1729718601643826211, 
-0.2553867568634539, 0.01936001457668654, -0.035788408752251914, 1729718601744058981, 
-0.23362114656972188, 0.04705537145018269, -0.059425222173201925, 1729718601883788843, 
-0.2245075924093421, 0.07725949068604142, -0.061750113330621526, 1729718602003689418, 
-0.2142925196955544, 0.06312759373711119, -0.04706985143884339, 1729718602093790464, 
-0.20693178976969195, 0.08698652289669144, -0.03012881823140117, 1729718602143664622, 
-0.18344310818363296, 0.09822137195520601, -0.04224131903268991, 1729718602303366759, 
-0.17314455579302718, 0.08327099717862253, -0.04882822151743792, 1729718602403610687, 
-0.16067230425980344, 0.08043414447120427, -0.03280331903509685, 1729718602493619172, 
-0.1545030706382739, 0.08720345195054925, -0.022812254590446397, 1729718602543758077, 
-0.13490137495280446, 0.08195862651276446, -0.03146320149830536, 1729718602703338080, 
-0.12625944388107102, 0.06966864907329079, -0.03600562842780559, 1729718602803624012, 
-0.11642894820746907, 0.06512322623656058, -0.023953219193719854, 1729718602893649534, 
-0.11259325891088723, 0.06198596537633628, -0.01657918058403327, 1729718602943618694, 
-0.10101009117652307, 0.049702440377802304, -0.023110694746013714, 1729718603103726198, 
-0.09618500566248109, 0.0402148738042435, -0.026849253220269483, 1729718603203627691, 
-0.09032144285215887, 0.03757936461278676, -0.018295115020722112, 1729718603294620764, 
-0.08767537177745091, 0.0394458235925391, -0.012803129939025647, 1729718603343714987, 
-0.0843844641385286, 0.025822835231500096, -0.01650490402702221, 1729718603483333588, 
-0.08186162370905584, 0.014906362997783964, -0.021914344716224825, 1729718603602625889, 
-0.07825487927369182, 0.0202606771522256, -0.017139061637897142, 1729718603693627991, 
-0.07859745303408716, 0.01092771963602695, -0.01122030127733324, 1729718603743635256, 
-0.08002757271907732, -0.0052681658561619165, -0.016559916866570774, 1729718603903353466, 
-0.07802346754258466, 0.003677373173107675, -0.020508981775977462, 1729718604003628229, 
-0.07689437265543259, 0.016071740509128202, -0.010985447379103614, 1729718604043625803, 
-0.07591828897841116, 0.012662776729433502, -0.010773420311997434, 1729718604143642104, 
-0.07735576647959097, -0.000159595031773063, -0.018445848282439833, 1729718604284047764, 
-0.07436381413384147, 0.004924580213505372, -0.019730696581788835, 1729718604403669532, 
-0.07492169771119579, 0.006317667030664058, -0.01599335315889755, 1729718604495748209, 
-0.07318265151240978, 0.009573669952386461, -0.01053611602070217, 1729718604545749853, 
-0.07184734497198568, 0.014371829745968479, -0.015410751589801926, 1729718604705940974, 
-0.07168289700512454, 0.00397508273965528, -0.014881257729268788, 1729718604751754085, 
-0.06968958593387131, 0.005879457271280998, -0.013340281618009457, 1729718604893638550, 
-0.06689209679377457, 0.023329443766900788, -0.013321550609496463, 1729718604943647742, 
-0.06367616936326333, 0.025336301112491577, -0.014034704023880167, 1729718605103888044, 
-0.06260626817409835, 0.014133195500466794, -0.013403291819212983, 1729718605151800828, 
-0.05924706994345896, 0.015337805925418675, -0.01173483015495282, 1729718605293639480, 
-0.05777002307869558, 0.01771563093233716, -0.011494086728434114, 1729718605343770625, 
-0.05620241030935421, 0.013082520393651554, -0.012145850691328107, 1729718605503994269, 
-0.05619537960412071, 0.003307522048743138, -0.011964359337150251, 1729718605554698164, 
-0.050216396017679375, 0.02245219507857113, -0.0075698606121479, 1729718605643647410, 
-0.048142829942188235, 0.029310013152684732, -0.00974018172731016, 1729718605743761085, 
-0.041409176846075785, 0.020934666394296086, -0.012117397463322523, 1729718605903736183, 
-0.039096919799311826, 0.02206320093720272, -0.010974973544339977, 1729718605999689537, 
-0.039003728247580194, 0.00836317353252516, -0.007565582491420241, 1729718606093651510, 
-0.03818566441166038, 0.005777922043320344, -0.005582559250399766, 1729718606143710595, 
-0.03122143816565959, 0.01993421397420092, -0.007599638883052639, 1729718606303952607, 
-0.028655417171258232, 0.023424144201677544, -0.008366271927738655, 1729718606399657677, 
-0.026952576595822113, 0.02155157775123605, -0.004072375667706133, 1729718606444655209, 
-0.02921501853515764, 0.005000857653166091, -0.004072972198266277, 1729718606543709583, 
-0.024851977665972233, 0.001488021826090511, -0.0069905458767136755, 1729718606703501768, 
-0.020266552580256086, 0.02420568537879578, -0.006466711003088623, 1729718606804697163, 
-0.016446617817384837, 0.029341613454944127, -0.0039120456955671415, 1729718606894131328, 
-0.016417257582867162, 0.014433499681234157, -0.002467832721965156, 1729718606944042891, 
-0.015903563824161356, 0.0014245429366497476, -0.0030771984629224046, 1729718607083429670, 
-0.015772513326681593, 0.0015905228425654823, -0.004168712476215253, 1729718607204081782, 
-0.015428402781118691, 0.0016372652440117636, -0.003306754714747091, 1729718607294030958, 
-0.016228925643346846, -0.004526070701398437, -0.002149301160003572, 1729718607340027913, 
-0.018551088610863298, -0.013538046183383334, -0.0024442411540083137, 1729718607440076659, 
-0.0243908466498191, -0.01990740007109331, -0.00512794481136738, 1729718607600017952, 
-0.03337391505059627, -0.042772161062981644, -0.006557850704113947, 1729718607697867826, 
-0.0378664579854292, -0.06639717944339012, -0.00445274801762687, 1729718607739702922, 
-0.06227635691223968, -0.09008183327199536, -0.008532570702408905, 1729718607889586962, 
-0.10203545363061522, -0.1755690870398986, -0.017465354922109797, 1729718607998860670, 
-0.21256318122332737, -0.49790452941527663, -0.026016629527223833, 1729718608096684515, 
