x, y, th, stamp, 
-1.7669999978044368, -1.2370923373720166, -2.5872102809803144, 145986000000, 
-1.7728384131710935, -1.2406420936572276, -2.6042075646157476, 146020000000, 
-1.778736157187949, -1.2440920219262448, -2.6212059644041354, 146054000000, 
-1.7846920270045072, -1.2474408079387762, -2.6382020612204444, 146088000000, 
-1.7905420506283256, -1.2506661853002952, -2.6473690814396935, 146122000000, 
-1.7965640705715553, -1.2539045478871695, -2.6413699017268324, 146156000000, 
-1.8025226256077347, -1.2571790671968692, -2.638452638064078, 146190000000, 
-1.8084874717228452, -1.2604484227793997, -2.642607931712234, 146224000000, 
-1.8144612045421382, -1.2636979843188931, -2.6431199186611276, 146258000000, 
-1.8204279709901463, -1.2669558333430775, -2.6406702255901253, 146292000000, 
-1.8263918574473517, -1.2702219569198863, -2.6410368981661327, 146326000000, 
-1.8323597041617374, -1.2734810470421323, -2.6423310448011494, 146360000000, 
-1.8383284817654855, -1.2767372941063881, -2.6418119195716265, 146394000000, 
-1.8442952009357612, -1.2799981185980687, -2.641235168999776, 146428000000, 
-1.8502621477966155, -1.2832590516812166, -2.6416831345731824, 146462000000, 
-1.8562306471905587, -1.2865174545822202, -2.641898471621048, 146496000000, 
-1.8621990237496016, -1.28977648031662, -2.6415908086059754, 146530000000, 
-1.868166859147148, -1.2930366181082862, -2.6415384013828938, 146564000000, 
-1.874135135759091, -1.2962964566097903, -2.6417149882849773, 146598000000, 
-1.8801037173115704, -1.2995554910799114, -2.6416935730620197, 146632000000, 
-1.8860718730560295, -1.3028151745073775, -2.6415981247630165, 146666000000, 
-1.8920400564459072, -1.3060747337004888, -2.6416305931853064, 146700000000, 
-1.8980082371688278, -1.3093341071641986, -2.641673322530253, 146734000000, 
-1.9039763164635122, -1.3125932997443182, -2.6416429959221843, 146768000000, 
-1.9099442530556836, -1.3158524998644734, -2.6416255785376985, 146802000000, 
-1.9159121783582638, -1.319111551099893, -2.64164548739721, 146836000000, 
-1.9218800122491542, -1.3223705261131908, -2.6416488351239304, 146870000000, 
-1.92784787412624, -1.3256294053905044, -2.641636055819059, 146904000000, 
-1.9338156961670165, -1.3288883388930024, -2.641635929617964, 146938000000, 
-1.939783627838096, -1.3321472127840697, -2.6416416855081373, 146972000000, 
-1.9457516209602468, -1.3354060742685478, -2.641638806700199, 147006000000, 
-1.951719740154931, -1.33866498659718, -2.6416348183899703, 147040000000, 
-1.957687974254293, -1.3419239293985525, -2.641635934235215, 147074000000, 
-1.9636562930706354, -1.3451828983447272, -2.6416362777646345, 147108000000, 
-1.9696246808312752, -1.348441880608399, -2.641634086376432, 147142000000, 
-1.9755931344828996, -1.3517008622918165, -2.641633209795325, 147176000000, 
-1.9815615763350656, -1.354959857901264, -2.6416333262600062, 147210000000, 
-1.9875300298083138, -1.3582188268113886, -2.6416324235654134, 147244000000, 
-1.993498409620108, -1.3614777756502912, -2.6416312000355817, 147278000000, 
