e, e_dot, e_int, stamp, 
-2.356195011654048, 1.4675295930610916e-10, -0.23307691934849342, 1729716904379515461, 
-2.3563050991662675, -0.0007328568060297719, -0.23638048953890775, 1729716904429587771, 
-2.337974959969323, 0.10031154565149576, -0.2597894072205996, 1729716904490056696, 
-2.3244367303040487, 0.25418831829189564, -0.21041238168670848, 1729716904519524032, 
-2.2862961101835584, 0.3335818183646026, -0.23145381557087574, 1729716904589983397, 
-2.24881000491327, 0.4330832902067776, -0.27419306495521517, 1729716904639441527, 
-2.2148626756364402, 0.5342707661141692, -0.20168540898402548, 1729716904679621771, 
-2.167824936468372, 0.5923827190525764, -0.20034902655348974, 1729716904730076722, 
-2.109790022829581, 0.7041992793137655, -0.21560112604209156, 1729716904779245276, 
-2.045299573571466, 0.8205942846703015, -0.20969826123649118, 1729716904829571153, 
-1.976471705975634, 0.8873523449591847, -0.2047521830938277, 1729716904879424744, 
-1.8138947969665211, 0.9500234212378967, -0.31218867703755754, 1729716904990061150, 
-1.684664589436157, 0.968449704240317, -0.36616493292903474, 1729716905080061924, 
-1.539097399866371, 0.9638835747780646, -0.31904136330355454, 1729716905180055056, 
-1.3918675078437286, 0.9754776753209299, -0.3078694032111852, 1729716905280166419, 
-1.2296069722604357, 0.982290653863429, -0.29127924637476343, 1729716905390083332, 
-1.0978393143623146, 0.9801207696331087, -0.24784618334304864, 1729716905480079250, 
-0.9459875109877272, 0.993905645967731, -0.20738151203404628, 1729716905580142021, 
-0.7951124120534938, 1.0087526869222512, -0.1893256781304959, 1729716905680145890, 
-0.6350612130317659, 0.9884508102152104, -0.16623571903680706, 1729716905790021372, 
-0.521204492931584, 0.9072397290794235, -0.13001158833408732, 1729716905880022460, 
-0.40236378109271387, 0.8137599613426577, -0.09925205542858068, 1729716905981058542, 
-0.30401582545963945, 0.7265219882055892, -0.0814527076355434, 1729716906079078576, 
-0.21564478342139104, 0.6036839403950172, -0.06375180777390575, 1729716906188488438, 
-0.15930023436779228, 0.4738425803149903, -0.04553630435127213, 1729716906280281509, 
-0.11583952557735966, 0.3483443002159956, -0.03150518052930744, 1729716906381068956, 
-0.08895618392339966, 0.2263201639675396, -0.02540150014332807, 1729716906489579365, 
-0.0739000142023385, 0.13392533091309464, -0.019161314800492647, 1729716906587329546, 
-0.06861013539223038, 0.07036292993214967, -0.014694610941474763, 1729716906680033986, 
-0.06894262798212702, 0.017912568308371807, -0.013584469265134569, 1729716906780060085, 
-0.07374242641292739, -0.0175345011260799, -0.013905033794757706, 1729716906877459689, 
-0.07728063913154148, -0.027166343483577216, -0.015193411139175574, 1729716906987275277, 
-0.08051208557554768, -0.02235196371442807, -0.015634524531603168, 1729716907080036159, 
-0.08414712510341271, -0.023724989928514895, -0.015548116461530433, 1729716907180068442, 
-0.0836276505629785, -0.010314178022158572, -0.016246258803174658, 1729716907276336423, 
-0.08143148662680622, 0.008172286017497515, -0.01753795201362429, 1729716907391194180, 
-0.07786987774396437, 0.019736332715252016, -0.016495035750523798, 1729716907480038345, 
-0.0685464916033438, 0.044429337956839565, -0.014345359644978514, 1729716907580074952, 
-0.05463974981582975, 0.07328828729249735, -0.014062402196220269, 1729716907689866361, 
-0.044938127491287005, 0.07462377014551216, -0.011746063954556506, 1729716907789670932, 
-0.034002195971408966, 0.07267782679618782, -0.008474024191560814, 1729716907880179721, 
-0.024101134069566932, 0.07329674635235484, -0.006541619973396425, 1729716907980126894, 
-0.014712090917906373, 0.06618749804852976, -0.004716251150463951, 1729716908074489570, 
-0.00618047686482015, 0.05775181704228934, -0.003150103733427762, 1729716908190163206, 
-0.0027530176309000787, 0.03729589759980887, -0.0016201814040090645, 1729716908280047780, 
-0.0006088003944975107, 0.019855615722814607, -0.0006040837060442936, 1729716908380080950, 
-0.0007736550823094213, 0.006599495073617008, -0.0002767521449083858, 1729716908480812339, 
-0.0010567434528461206, -0.0014128267979730171, -0.00017036331816619476, 1729716908589612837, 
-0.0007253606462893636, 0.000354259407164858, -0.00016972505793388796, 1729716908680038924, 
-0.0036648731618362795, -0.00857229802188922, -0.00034583258619606594, 1729716908780085040, 
-0.0065189771579508005, -0.019270934434591866, -0.0007288529447377718, 1729716908880471278, 
-0.008898954373617762, -0.01671369067082938, -0.0013358782255751482, 1729716908990097915, 
-0.009483025734576156, -0.009400421602762235, -0.0016567646899147898, 1729716909080073808, 
-0.011239190816147993, -0.00801677288624895, -0.0018759242563846903, 1729716909180089485, 
-0.01246539614412212, -0.009966089466845532, -0.002205749287103411, 1729716909279462897, 
-0.014131753090260712, -0.00917350756370556, -0.0026376754914272296, 1729716909389227749, 
-0.015054215202262355, -0.008407738838876348, -0.0027993141060095902, 1729716909481087560, 
-0.016662516487873535, -0.008790756471800063, -0.002909026725720294, 1729716909579573847, 
-0.018927685132379413, -0.012322810892118329, -0.0035154358709749796, 1729716909689329816, 
-0.019217841067304064, -0.008089553958058443, -0.0034653146272920848, 1729716909769253014, 
-0.02081447114371704, -0.005991000968506895, -0.003758587197393524, 1729716909880574085, 
-0.02447175226744891, -0.017081242049988756, -0.004524557424290132, 1729716909979684285, 
-0.030227902673243268, -0.031529808473113735, -0.005006346449646757, 1729716910079464546, 
-0.03720441169913968, -0.040283343339084295, -0.00644048044685924, 1729716910189919175, 
-0.04769545806319231, -0.06010514280971005, -0.007675341364432939, 1729716910279468625, 
-0.07658192520159979, -0.13534848236038066, -0.0102024233584207, 1729716910379459241, 
-0.1481247188022401, -0.31261121462343777, -0.019089568936799504, 1729716910489704546, 
