x, y, theta, stamp, 
4.117668339631564e-08, -4.8268177010868385e-08, 4.7676110029820574e-07, 1729716904280594566, 
4.117668339631564e-08, -4.8268177010868385e-08, 4.7675200530125267e-07, 1729716904329266360, 
4.117668339631564e-08, -4.8268177010868385e-08, 4.767392723055184e-07, 1729716904379515461, 
0.00015990926476661116, -6.036618651705794e-05, 4.7673017730856533e-07, 1729716904429587771, 
0.002547576790675521, -0.0002757474430836737, -0.019629589697066577, 1729716904490056696, 
0.00470396364107728, -0.0004055176395922899, -0.03430701607442814, 1729716904519524032, 
0.01156803872436285, -0.0010999791556969285, -0.07619932578662324, 1729716904589983397, 
0.017707914113998413, -0.0018866673344746232, -0.11710457547864114, 1729716904639441527, 
0.0236061979085207, -0.0026058442890644073, -0.15430092291444716, 1729716904679621771, 
0.03266093507409096, -0.003941444214433432, -0.2064097059749945, 1729716904730076722, 
0.042790599167346954, -0.00620077783241868, -0.2704554224415933, 1729716904779245276, 
0.05380013585090637, -0.009403765201568604, -0.3418007513087942, 1729716904829571153, 
0.06616368889808655, -0.014045575633645058, -0.4187889839599848, 1729716904879424744, 
0.09234021604061127, -0.027750028297305107, -0.6004008521362244, 1729716904990061150, 
0.11150357872247696, -0.04216077923774719, -0.7456514258064822, 1729716905080061924, 
0.1298867017030716, -0.06131856143474579, -0.9092688119231757, 1729716905180055056, 
0.14513686299324036, -0.08278315514326096, -1.0743948436626922, 1729716905280166419, 
0.15714102983474731, -0.1092754527926445, -1.2559556589007994, 1729716905390083332, 
0.16352903842926025, -0.13235430419445038, -1.4030087599419059, 1729716905480079250, 
0.16637606918811798, -0.1584179699420929, -1.570571400498199, 1729716905580142021, 
0.16474981606006622, -0.18465803563594818, -1.7357444279805894, 1729716905680145890, 
0.15844666957855225, -0.21373210847377777, -1.9102264591007683, 1729716905790021372, 
0.1488160789012909, -0.23863229155540466, -2.0351081369113055, 1729716905880022460, 
0.13426530361175537, -0.2653644382953644, -2.164489660466264, 1729716905981058542, 
0.11644631624221802, -0.28987210988998413, -2.271063090812367, 1729716906079078576, 
0.09409359842538834, -0.3143880069255829, -2.366164073070486, 1729716906188488438, 
0.07376919686794281, -0.333656907081604, -2.426889004718051, 1729716906280281509, 
0.05051738768815994, -0.35349610447883606, -2.4740762884773235, 1729716906381068956, 
0.023775579407811165, -0.3739131689071655, -2.503769800271286, 1729716906489579365, 
-0.0004079863429069519, -0.39143168926239014, -2.52081548033947, 1729716906587329546, 
-0.023156536743044853, -0.4076647162437439, -2.5278873298056617, 1729716906680033986, 
-0.048018570989370346, -0.4253574013710022, -2.5295671840523064, 1729716906780060085, 
-0.07285323739051819, -0.4429369866847992, -2.526816357847017, 1729716906877459689, 
-0.100465789437294, -0.46238312125205994, -2.525613844721329, 1729716906987275277, 
-0.1232079416513443, -0.4785934388637543, -2.524585503390117, 1729716907080036159, 
-0.1480439454317093, -0.49624019861221313, -2.5234492241358333, 1729716907180068442, 
-0.17221549153327942, -0.5135957598686218, -2.5267147856915217, 1729716907276336423, 
-0.20063641667366028, -0.533626139163971, -2.532013509529193, 1729716907391194180, 
