odom_x, odom_y, odom_th, timestamp, 
1.66333586548717e-06, -1.8914129213953856e-06, 1.883519367556976e-05, 1732749149751892393, 
1.66333586548717e-06, -1.8914129213953856e-06, 1.883519698732001e-05, 1732749149802579889, 
1.66333586548717e-06, -1.8914129213953856e-06, 1.8835195845365988e-05, 1732749149851444926, 
1.66333586548717e-06, -1.8914129213953856e-06, 1.883519493776869e-05, 1732749149911476000, 
1.66333586548717e-06, -1.8914129213953856e-06, 1.8835218282843916e-05, 1732749150061485503, 
1.66333586548717e-06, -1.8914129213953856e-06, 1.88352205205078e-05, 1732749150111895869, 
1.66333586548717e-06, -1.8914129213953856e-06, 1.8835213265740312e-05, 1732749150151194917, 
1.66333586548717e-06, -1.8914129213953856e-06, 1.8835204350010673e-05, 1732749150201650418, 
1.66333586548717e-06, -1.8914129213953856e-06, 1.8835198010207082e-05, 1732749150271594052, 
1.66333586548717e-06, -1.8914129213953856e-06, 1.8835203467200592e-05, 1732749150311613949, 
1.66333586548717e-06, -1.8914129213953856e-06, 1.8835203452675133e-05, 1732749150361865301, 
1.66333586548717e-06, -1.8914129213953856e-06, 1.883519923431061e-05, 1732749150411839677, 
1.66333586548717e-06, -1.8914129213953856e-06, 1.8835194818246345e-05, 1732749150461631224, 
1.66333586548717e-06, -1.8914129213953856e-06, 1.8835194962862537e-05, 1732749150551490566, 
1.66333586548717e-06, -1.8914129213953856e-06, 1.883521796005559e-05, 1732749150671781332, 
1.66333586548717e-06, -1.8914129213953856e-06, 1.8835200065612194e-05, 1732749150762400383, 
1.66333586548717e-06, -1.8914129213953856e-06, 1.883519552827457e-05, 1732749150861811261, 
1.66333586548717e-06, -1.8914129213953856e-06, 1.8835182883879266e-05, 1732749150951492485, 
1.66333586548717e-06, -1.8914129213953856e-06, 1.8835175202650024e-05, 1732749151071673663, 
1.66333586548717e-06, -1.8914129213953856e-06, 1.883518458284563e-05, 1732749151162815648, 
1.66333586548717e-06, -1.8914129213953856e-06, 1.883519549682777e-05, 1732749151261291927, 
1.66333586548717e-06, -1.8914129213953856e-06, 1.883520641080991e-05, 1732749151351488951, 
1.66333586548717e-06, -1.8914129213953856e-06, 1.883521914378907e-05, 1732749151471472309, 
1.66333586548717e-06, -1.8914129213953856e-06, 1.8835230057771212e-05, 1732749151561298012, 
1.66333586548717e-06, -1.8914129213953856e-06, 1.8835240971753353e-05, 1732749151661298088, 
1.66333586548717e-06, -1.8914129213953856e-06, 1.8835251885735494e-05, 1732749151751518080, 
1.7054462659871206e-06, -1.9392964532016777e-06, 1.931208127094167e-05, 1732749151871281932, 
1.7054462659871206e-06, -1.9392964532016777e-06, 1.9312070356957772e-05, 1732749151961275533, 
1.7054462659871206e-06, -1.9392964532016777e-06, 1.931205944297387e-05, 1732749152062285499, 
1.7054462659871206e-06, -1.9392964532016777e-06, 1.9312048528989967e-05, 1732749152151544557, 
1.7054462659871206e-06, -1.9392964532016777e-06, 1.9312035796008746e-05, 1732749152271493601, 
1.7054462659871206e-06, -1.9392964532016777e-06, 1.9312024882024847e-05, 1732749152361311150, 
1.7054462659871206e-06, -1.9392964532016777e-06, 1.9312013968040944e-05, 1732749152461297010, 
1.7054462659871206e-06, -1.9392964532016777e-06, 1.9312003054057042e-05, 1732749152551639230, 
1.7054462659871206e-06, -1.9392964532016777e-06, 1.9311990321075825e-05, 1732749152671335062, 
1.7054462659871206e-06, -1.9392964532016777e-06, 1.9311979407091925e-05, 1732749152761339984, 
1.7054462659871206e-06, -1.9392964532016777e-06, 1.9311968493108023e-05, 1732749152861280042, 
1.7054462659871206e-06, -1.9392964532016777e-06, 1.931195757912412e-05, 1732749152952584172, 
1.7054462659871206e-06, -1.9392964532016777e-06, 1.93119448461429e-05, 1732749153071596247, 
