imu_ax, imu_ay, kf_ax, kf_ay, kf_vx, kf_w, kf_x, kf_y, stamp, 
-0.035041833116119206, 0.018242310574723194, -0.019112406386670736, 6.630829222882036e-12, -0.00014395664567716353, -4.6061292910035574e-08, 2.9056886674177343e-06, 0.0, 13512000000, 
-0.06109539411934058, -0.005419821530708632, -0.04457450405727273, -7.935389366740313e-09, -0.0011841173922617111, 6.7015225167695625e-06, 5.85828205476897e-05, -6.04822553205397e-13, 13557000000, 
-0.10225490860657811, 0.187060244788114, -0.08005553524274023, 1.778963685152516e-06, -0.0027453721362814725, -0.0006479863555263117, 0.0001660199585405667, 1.2340935327016002e-09, 13652000000, 
-0.20710907698375017, 0.08748947203385754, -0.15841100999829094, -0.0019919261462465073, -0.006396202285183145, 0.31142325671294363, 0.0003328621807018185, -1.9633999808242885e-06, 13747000000, 
0.06497128475733757, -0.07184123564811158, -0.020219075410534276, -0.004673896600309164, -0.007091694291341552, 0.6590662834995094, 0.0002500216902821795, -1.1539387874651672e-05, 13842000000, 
-0.03963028987154273, 0.029886403216543733, -0.031694957260042525, 0.018148100059584275, 0.02075016079947274, 0.8746004541827654, 0.0013628476996260307, 2.112163046533218e-05, 13942000000, 
-0.044880457894584294, 0.0688601270665049, -0.03935634449479711, 0.04299201567901151, 0.04441823237920659, 0.9678911873840632, 0.0048274007533156815, 0.0004918458932172487, 14042000000, 
0.01917119138863653, 0.03807321637497973, -0.003170228940124045, 0.04262587394834, 0.04293795753003743, 0.992731755312788, 0.009164638494031239, 0.0015711751515318567, 14137000000, 
-0.22956407076830318, 0.009407359101423743, -0.14311553935689025, 0.03428671064894666, 0.03456023358678294, 0.9920856166336537, 0.01315994106304388, 0.0029735600440531054, 14239000000, 
-0.21199937859845658, 0.010550621753677911, -0.18539244839855698, 0.033534407613868014, 0.0336695356792175, 0.9959866371001695, 0.016811823904474135, 0.004663910600811808, 14335000000, 
-0.036390647673016044, 0.09709751417527143, -0.09235057804042794, 0.0693311222926031, 0.06939942741224352, 0.9990157682536102, 0.021313601680205976, 0.0072917650541891, 14436000000, 
-0.1001371575864112, 0.10441856074636564, -0.0966571683649719, 0.08639369030314355, 0.08636530383588575, 1.0003286790643582, 0.02767723703398111, 0.01197961849506829, 14527000000, 
-0.04383964557751823, 0.10687455572680189, -0.06367879070098045, 0.09582353777137026, 0.09578047903841927, 1.000449556458511, 0.034548432529791936, 0.018218421857568147, 14627000000, 
-0.07217652671492224, 0.11616814838346458, -0.06860829424900598, 0.10602802250791253, 0.10600334291820904, 1.0002328189755538, 0.04137151661040047, 0.025786943075485243, 14728000000, 
-0.06617914510178627, 0.1360438298224664, -0.06671622885147757, 0.11975747921200493, 0.11961844721936521, 1.0011622955812556, 0.048087327211740465, 0.03492593330404876, 14818000000, 
0.02915602240038008, 0.14731039704851284, -0.007162024315936835, 0.1317958779376596, 0.1315454757312304, 1.0019035410000783, 0.05445790400595127, 0.045734530138597324, 14915000000, 
-0.05669374741894122, 0.15052395873747365, -0.03756717515497687, 0.14046808216233783, 0.14018483073677848, 1.0020205568895768, 0.06013387249593986, 0.0580294581718939, 15010000000, 
-0.08191514214692204, 0.15513053824606168, -0.0647464714629817, 0.14738202317436475, 0.1470953671560455, 1.0019487766600776, 0.06484830525883332, 0.0716880392748524, 15096000000, 
-0.05890026437293333, 0.18081367653517413, -0.060664921114068196, 0.16574464929570906, 0.16525077069769423, 1.0029886613897754, 0.0684494821012778, 0.0868649080397426, 15197000000, 
-0.15634168432448184, 0.060002458373290275, -0.12031682196955665, 0.12873023224248983, 0.12927599631501693, 0.995778303102788, 0.07045090188402929, 0.10228517350297553, 15285000000, 
-0.0711618501677139, 0.23741918031801162, -0.08861957323295541, 0.18783341333901957, 0.18744913496529317, 1.0020500407953206, 0.07101205037728543, 0.1176938959414845, 15386000000, 
-0.06138341021179604, 0.24946591731857087, -0.07117197228922571, 0.21242366487544043, 0.2115002653455472, 1.0043659497466095, 0.06968102716746136, 0.13756442641943742, 15482000000, 
-0.06961222879450522, 0.2065128568635323, -0.07021135167076517, 0.207022173199768, 0.20406554418132103, 1.0144886243795272, 0.06611743822368756, 0.1583593232918991, 15582000000, 
-0.07885430444896982, 0.24465856928620056, -0.07511249735078697, 0.2253217607769033, 0.21955760537174634, 1.0262534991461458, 0.06048103395676729, 0.17878103955732824, 15677000000, 
0.08795277990395664, 0.2509335560953738, 0.025918640257211592, 0.23792474201582206, 0.22978043599252093, 1.0354438618245385, 0.05233054713149892, 0.19964873600498187, 15772000000, 
0.05112348214850816, 0.3232088386543509, 0.04208408689373798, 0.27506652086521544, 0.26358139121177265, 1.0435733706413861, 0.04135591890422931, 0.22103903314318785, 15882000000, 
-0.027398410738700495, 0.3860809426730265, -0.0002353564479609313, 0.31362212659330063, 0.29795981596504645, 1.0525651775476044, 0.026356782523125295, 0.24403947078962537, 15972000000, 
-0.07574837585747857, 0.30608192535098006, -0.04720518611188036, 0.2941306032492743, 0.28015908501877956, 1.0498699452475662, 0.007864083081100502, 0.2666968865748628, 16067000000, 
-0.061466266082286565, 0.3049096131875761, -0.05596612078230366, 0.2913083585369282, 0.277810266854885, 1.0485874472346048, -0.012092046252121362, 0.2865116715411712, 16168000000, 
0.07261835466531523, 0.25687247945278086, 0.023349426402047513, 0.2706742912702915, 0.2693517974575474, 1.0049099127060868, -0.03377155374230918, 0.3039951494323365, 16263000000, 
