x, y, th, stamp, 
-0.851580798625946, -2.836869478225708, 2.8797293189143685, 1727901188710135346, 
-0.8534674048423767, -2.8364295959472656, 2.8930757217280303, 1727901188768616309, 
-0.855487585067749, -2.836103916168213, 2.90349867271157, 1727901188799148778, 
-0.8617175817489624, -2.8348565101623535, 2.9412279005694195, 1727901188869565828, 
-0.866507351398468, -2.834200382232666, 2.96995592053938, 1727901188909419078, 
-0.8736365437507629, -2.833405017852783, 3.010860913954757, 1727901188959184599, 
-0.8817114233970642, -2.8328185081481934, 3.059871421134011, 1727901189009120411, 
-0.8913074731826782, -2.832995653152466, 3.116636037403316, 1727901189059276414, 
-0.9023131132125854, -2.8332133293151855, -3.1036908607561715, 1727901189110040281, 
-0.9120675325393677, -2.8338122367858887, -3.0492942622187997, 1727901189149871421, 
-0.930992066860199, -2.836475372314453, -2.9480817096427896, 1727901189218423861, 
-0.9449301958084106, -2.8394439220428467, -2.871915784961688, 1727901189269411801, 
-0.9557035565376282, -2.842407464981079, -2.81153704881951, 1727901189309496908, 
-0.9685335159301758, -2.847088098526001, -2.740687815589153, 1727901189358503021, 
-0.981412410736084, -2.852656602859497, -2.6682160541933753, 1727901189409089499, 
-0.9963308572769165, -2.8603954315185547, -2.5798674193056286, 1727901189469545463, 
-1.0062649250030518, -2.8663744926452637, -2.523423637419936, 1727901189510064983, 
-1.0196362733840942, -2.8763837814331055, -2.440226691920657, 1727901189568625404, 
-1.0305694341659546, -2.885637044906616, -2.3699198150647502, 1727901189619089504, 
-1.0407191514968872, -2.895709276199341, -2.2992300606454306, 1727901189670174345, 
-1.0484369993209839, -2.9042227268218994, -2.2430262560470764, 1727901189710112386, 
-1.057129979133606, -2.915569543838501, -2.1738839569781643, 1727901189759161812, 
-1.0648455619812012, -2.9266672134399414, -2.1106475945762746, 1727901189805090524, 
-1.0721688270568848, -2.9391515254974365, -2.0443088444433792, 1727901189854045914, 
-1.0781735181808472, -2.9511353969573975, -1.9776109319834216, 1727901189903679878, 
-1.084143877029419, -2.9645166397094727, -1.9092665536300226, 1727901189956143082, 
-1.0897324085235596, -2.9825589656829834, -1.8269165714869433, 1727901190019085767, 
-1.0936051607131958, -2.9974634647369385, -1.7597551719757472, 1727901190070291211, 
-1.095824122428894, -3.009276866912842, -1.7069843438183643, 1727901190110096767, 
-1.0978294610977173, -3.0245003700256348, -1.6426927465869245, 1727901190160268072, 
-1.098598599433899, -3.038621664047241, -1.5793382402047835, 1727901190209089635, 
-1.0985627174377441, -3.0531954765319824, -1.5156711076616856, 1727901190259112264, 
-1.0976446866989136, -3.068193197250366, -1.4520312959999278, 1727901190310110083, 
-1.0948585271835327, -3.0856692790985107, -1.3770016725183185, 1727901190369225294, 
-1.091630220413208, -3.1004691123962402, -1.3145042794198054, 1727901190419087691, 
-1.0874629020690918, -3.115216016769409, -1.2526113314203435, 1727901190469178495, 
-1.083479404449463, -3.1269922256469727, -1.20296815776934, 1727901190510108970, 
-1.077461838722229, -3.1416475772857666, -1.1418786346596506, 1727901190560182497, 
-1.0706698894500732, -3.1557211875915527, -1.0811008585738207, 1727901190609095229, 
-1.0628290176391602, -3.16953706741333, -1.019085952951584, 1727901190659040505, 
-1.0542482137680054, -3.1827330589294434, -0.9592578107683388, 1727901190709906657, 
-1.046373963356018, -3.1931138038635254, -0.912305382402646, 1727901190750037215, 
-1.0321828126907349, -3.2100470066070557, -0.8296693434670736, 1727901190819108461, 
-1.0211952924728394, -3.221801519393921, -0.7668689022441205, 1727901190870426633, 
-1.0114753246307373, -3.2302863597869873, -0.7220907539177212, 1727901190910082042, 
-0.9993436336517334, -3.2402470111846924, -0.666116589875056, 1727901190959250707, 
-0.9864861965179443, -3.249814748764038, -0.6082848405767874, 1727901191010128970, 
-0.9729466438293457, -3.258762836456299, -0.5513166768973002, 1727901191060041664, 
-0.9590960741043091, -3.266976833343506, -0.49258304389474944, 1727901191111054553, 
-0.9473990797996521, -3.27278208732605, -0.4472426708612693, 1727901191150048350, 
-0.9262475371360779, -3.281644344329834, -0.36913677241535864, 1727901191219111794, 
-0.9121385812759399, -3.2867190837860107, -0.3177237495167954, 1727901191265245411, 
-0.8981375098228455, -3.290963888168335, -0.2673716516360096, 1727901191310105211, 
-0.8823192119598389, -3.294625997543335, -0.21391136726540905, 1727901191359182327, 
-0.8662520051002502, -3.297508716583252, -0.1581130821779757, 1727901191409112555, 
-0.8497649431228638, -3.299697160720825, -0.10302065491773049, 1727901191460018821, 
-0.834896445274353, -3.300816297531128, -0.054525279813308986, 1727901191505056129, 
-0.8203375339508057, -3.3012754917144775, -0.007760089980998909, 1727901191549752617, 
-0.7973615527153015, -3.3005712032318115, 0.06810305699823041, 1727901191620278041, 
-0.7817158699035645, -3.2990529537200928, 0.11785751658013947, 1727901191666112839, 
-0.7675144076347351, -3.297163724899292, 0.16528093337798383, 1727901191710105986, 
-0.7514819502830505, -3.294071912765503, 0.2177680475181501, 1727901191759286292, 
-0.7357079982757568, -3.290090322494507, 0.2699204783663157, 1727901191809073483, 
-0.7198499441146851, -3.285496950149536, 0.3226281832044578, 1727901191860048637, 
-0.7055812478065491, -3.280304431915283, 0.3695436626056731, 1727901191905063126, 
-0.6861597299575806, -3.271745204925537, 0.4334709934326188, 1727901191969223072, 
-0.6769808530807495, -3.2674849033355713, 0.465521544251926, 1727901191999363453, 
-0.6579922437667847, -3.2570607662200928, 0.5318536585973236, 1727901192066209618, 
-0.6455191373825073, -3.2492220401763916, 0.5766715384357687, 1727901192110111359, 
-0.6317651271820068, -3.2397499084472656, 0.6270752299373792, 1727901192160283985, 
-0.6185320615768433, -3.2294654846191406, 0.6778468314511747, 1727901192210095465, 
-0.6055338978767395, -3.2186007499694824, 0.7295397884024645, 1727901192261014145, 
-0.5939757227897644, -3.2077343463897705, 0.7757975255852362, 1727901192307060547, 
-0.583673357963562, -3.1975011825561523, 0.8175444795320264, 1727901192350051376, 
-0.5686373114585876, -3.1803622245788574, 0.8827526971328377, 1727901192416346017, 
-0.5581545829772949, -3.1668992042541504, 0.9317492737257432, 1727901192467208406, 
-0.549314558506012, -3.1549155712127686, 0.9746926503636337, 1727901192510102435, 
-0.5399681329727173, -3.140529155731201, 1.0218895428197727, 1727901192560245569, 
-0.5313117504119873, -3.125811815261841, 1.069299757702199, 1727901192610116412, 
