angle_increment, stamp, 
0.008714509196579456, 1727899944264771130, 
0.008714509196579456, 1727899944400009723, 
0.008714509196579456, 1727899944535077280, 
0.008714509196579456, 1727899944657669534, 
0.008714509196579456, 1727899944792977812, 
0.008714509196579456, 1727899944915629010, 
0.008714509196579456, 1727899945050788289, 
0.008714509196579456, 1727899945173811058, 
0.008714509196579456, 1727899945308665487, 
0.008714509196579456, 1727899945432029903, 
0.008714509196579456, 1727899945566664648, 
0.008714509196579456, 1727899945689223439, 
0.008714509196579456, 1727899945824594661, 
0.008714509196579456, 1727899945947417710, 
0.008714509196579456, 1727899946082254991, 
0.008714509196579456, 1727899946205137021, 
0.008714509196579456, 1727899946340437780, 
0.008714509196579456, 1727899946463123330, 
0.008714509196579456, 1727899946598150406, 
0.008714509196579456, 1727899946721327248, 
0.008714509196579456, 1727899946856772284, 
0.008714509196579456, 1727899946979161373, 
0.008714509196579456, 1727899947114364466, 
0.008714509196579456, 1727899947237186959, 
0.008714509196579456, 1727899947372604403, 
0.008714509196579456, 1727899947495219768, 
0.008714509196579456, 1727899947630098123, 
0.008714509196579456, 1727899947752768524, 
0.008714509196579456, 1727899947888070136, 
0.008714509196579456, 1727899948010570687, 
0.008714509196579456, 1727899948145818169, 
0.008714509196579456, 1727899948281146465, 
0.008714509196579456, 1727899948404020624, 
0.008714509196579456, 1727899948539039552, 
0.008714509196579456, 1727899948661506196, 
0.008714509196579456, 1727899948796762863, 
0.008714509196579456, 1727899948919609134, 
0.008714509196579456, 1727899949054563858, 
0.008714509196579456, 1727899949177550110, 
0.008714509196579456, 1727899949312944554, 
0.008714509196579456, 1727899949435758787, 
0.008714509196579456, 1727899949570958177, 
0.008714509196579456, 1727899949693296229, 
0.008714509196579456, 1727899949828633618, 
0.008714509196579456, 1727899949963496584, 
0.008714509196579456, 1727899950086413947, 
0.008714509196579456, 1727899950221887742, 
0.008714509196579456, 1727899950344381626, 
0.008714509196579456, 1727899950479431813, 
0.008714509196579456, 1727899950602320121, 
0.008714509196579456, 1727899950737634214, 
0.008714509196579456, 1727899950860173745, 
0.008714509196579456, 1727899950995380950, 
0.008714509196579456, 1727899951118180091, 
0.008714509196579456, 1727899951253149001, 
0.008714509196579456, 1727899951376123197, 
0.008714509196579456, 1727899951511131162, 
0.008714509196579456, 1727899951633952266, 
0.008714509196579456, 1727899951769050620, 
0.008714509196579456, 1727899951891972242, 
0.008714509196579456, 1727899952027201890, 
0.008714509196579456, 1727899952161947302, 
0.008714509196579456, 1727899952285081367, 
0.008714509196579456, 1727899952420156443, 
0.008714509196579456, 1727899952543162990, 
0.008714509196579456, 1727899952677904290, 
0.008714509196579456, 1727899952800950393, 
0.008714509196579456, 1727899952935979580, 
0.008714509196579456, 1727899953058603556, 
0.008714509196579456, 1727899953194197258, 
0.008714509196579456, 1727899953316705142, 
0.008714509196579456, 1727899953451721551, 
0.008714509196579456, 1727899953586909775, 
0.008714509196579456, 1727899953709419640, 
0.008714509196579456, 1727899953845013509, 
0.008714509196579456, 1727899953967425560, 
0.008714509196579456, 1727899954102739375, 
0.008714509196579456, 1727899954225446850, 
0.008714509196579456, 1727899954360340261, 
0.008714509196579456, 1727899954483295031, 
0.008714509196579456, 1727899954618521365, 
0.008714509196579456, 1727899954741480338, 
0.008714509196579456, 1727899954876511599, 
0.008714509196579456, 1727899954999416777, 
0.008714509196579456, 1727899955134325836, 
0.008714509196579456, 1727899955269430763, 
0.008714509196579456, 1727899955392534680, 
0.008714509196579456, 1727899955527476127, 
0.008714509196579456, 1727899955650298639, 
0.008714509196579456, 1727899955785729101, 
0.008714509196579456, 1727899955908208670, 
0.008714509196579456, 1727899956043402579, 
0.008714509196579456, 1727899956166171517, 
0.008714509196579456, 1727899956301379832, 
0.008714509196579456, 1727899956423811495, 
0.008714509196579456, 1727899956559019458, 
0.008714509196579456, 1727899956681730952, 
0.008714509196579456, 1727899956817060952, 
0.008714509196579456, 1727899956939994296, 
0.008714509196579456, 1727899957075169742, 
0.008714509196579456, 1727899957198082549, 
0.008714509196579456, 1727899957332720757, 
